0:00:13.09	0:00:13.63			66
0:00:14.13	0:00:14.66			
0:00:15.06	0:00:15.53			
0:00:15.96	0:00:16.40			
0:00:16.93	0:00:17.23			
0:00:17.70	0:00:18.70			
0:00:19.97	0:00:20.80			
0:00:21.37	0:00:22.13			
0:00:22.60	0:00:23.00			
0:00:24.30	0:00:25.14			
0:00:25.64	0:00:25.87			
0:00:26.30	0:00:26.77			
0:00:27.24	0:00:27.67			
0:00:28.14	0:00:28.71			
0:00:29.14	0:00:29.41			
0:00:29.94	0:00:30.48			
0:00:30.94	0:00:31.34			
0:00:31.98	0:00:32.51			
0:00:32.94	0:00:36.15			
0:00:13.33	0:00:14.66			64
0:00:15.19	0:00:16.80			
0:00:17.36	0:00:18.56			
0:00:19.03	0:00:19.63			
0:00:20.23	0:00:20.73			
0:00:21.23	0:00:21.83			
0:00:22.47	0:00:22.93			
0:00:23.60	0:00:24.57			
0:00:25.24	0:00:26.04			
0:00:26.87	0:00:27.67			
0:00:28.24	0:00:31.08			
0:00:31.71	0:00:33.78			
0:00:34.48	0:00:35.05			
0:00:35.61	0:00:36.21			
0:00:36.82	0:00:38.82			
0:00:39.35	0:00:40.12			
0:00:40.79	0:00:44.32			
